code,food,Chakula,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAC,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
419,"Pumpkin, cooked",Boga la kupikwa,7,14,18,25,17,6,4,18,15,19,25,9,20,0.5,0,0,0.3,4.4,0.1,0,0.2,0,1.4,0.1,0,7,10,4,219,1,0.2,0,0.2,0.05,0.11,201,0,0,0,5,0.05,0.01,0.4,0.04,14,0,0.18
420,"Spinach, cooked",Spinachi iliyopikwa,40,127,152,231,182,55,35,134,113,168,168,66,23,3,0,0,0.3,3.8,0,0,0.1,0,2.4,0,0,136,56,87,466,70,3.6,0,0.8,0.17,0.94,819,0,0,1,10,0.1,0.24,0.5,0.24,146,0,0.15
421,"Tomato, bitter (African egg plant)",Nyanya chungu,10,35,51,52,47,10,8,32,17,43,57,20,22,1,0,0,0.4,4.5,0.1,0,0.2,0,2.8,0.5,6,31,15,8,97,8,0.2,0,0.1,0.01,0.12,13,0,0,0,20,0.06,0.06,0.3,0.11,20,0,0.14
422,"Tomato, green",Nyanya mbichi,6,21,20,31,31,7,11,22,15,22,21,13,21,0.9,0,0,0.3,4.6,0,0.1,0.1,0,1.1,0,6,5,24,11,222,9,0.5,0,0.1,0.07,0.11,87,0,0,0,19,0.06,0.05,0.6,0.08,15,0,0.25
423,"Tomato, ripe",Nyanya mbivu,6,21,20,31,31,7,11,22,15,22,21,13,21,0.9,0,0,0.3,4.6,0,0.1,0.1,0,1.1,0,6,5,24,11,222,9,0.5,0,0.1,0.07,0.11,87,0,0,0,19,0.06,0.05,0.6,0.08,15,0,0.25
424,"Bean, cluster",Guar,19,101,97,160,157,41,16,99,56,116,212,53,42,2.7,0,0,0.1,7.8,0,0,0.1,0,2.8,2.4,14,14,59,20,136,2,0.8,0,0.6,0.09,0.27,30,0,0,0,7,0.13,0.08,1,0.1,32,0,0.08
425,"Bean, french ",Maharage machanga,20,82,69,116,91,23,18,69,44,93,76,35,35,1.9,0,0,0.3,7.9,0.1,0,0.1,0,3.2,0.3,91,46,39,25,299,3,1.3,0,0.4,0.1,0.29,67,0,0,0,0,10,0.07,0.1,0.06,3.3,0,0.07
426,"Hare lettuce, (mchunga)",(mchunga) Mchunga,35,60,82,69,228,86,47,60,119,88,165,40,10.7,1,0,0,0.27,1,0,0.1,0,0,0.4,0,42,66.7,2.8,44.8,21.3,14.5,1.7,0,0.2,0.06,0.29,8.3,0,0,6.1,16,0,0,0.1,0.1,21,0,0.1
427,"Chili, green",Pilipili za kijani,5,19,21,29,29,6,4,19,11,22,44,10,21,0.9,0,0,0.1,5.1,0.01,0.006,0,0,1.3,3.1,35,12,27,11,150,12,0.6,0,0.2,0.05,0.11,39,0,0,1,109,0.05,0.03,0.7,0.21,22,0,0.07
428,Sweet potato leaf,Matembele,35,60,82,69,228,86,47,60,119,88,165,40,35,4.8,0,0,0.3,6.4,0,0.1,0,0,2,0,42,59.2,41,44.8,315.2,10.6,0.48,0,0.2,0.06,0.29,303,0,0,2,21.8,0.6,3.1,0.4,0.11,73,0,0.02
429,Green pepper (capsicum),Pilipili hoho,25,60,82,82,103,21,34,60,119,88,165,40,19,0,1,0,0,0.3,4.5,0.1,0.1,0.2,0,1.5,70,10,23,10,131,10,0.5,0,0.2,0.04,0.1,78,0,0,2,218,0.1,0.06,1.4,0.42,44,0,0.14
430,"Carrot, juice",Juisi ya karoti,12,40,43,46,43,7,9,34,21,46,45,17,45,1.1,0,0,0.2,10.5,0,0,0.1,0,3.3,3.6,9,31,30,13,227,66,0.6,0,0.3,0.13,0.75,1942,0,0,1,2,0.03,0.06,0.5,0.25,14,0,0.3
431,"Cabbage, chinese, raw",Kabichi Chinese,25,60,82,69,103,21,34,60,119,88,165,40,15,2.3,0,0,0.2,2.1,0,0.1,0,0,2,0,42,74,41,15,202,16,1.1,0,0.2,0.06,0.29,303,0,0,2,25,0.04,0.06,0.4,0.1,73,0,0.02
432,"Salad, green",Saladi,34,111,124,147,166,36,55,105,152,135,228,61,36,3.5,0,0,0.9,7.1,0.1,0.1,0.4,0,4.4,0.4,47,94,17,352,22,1.8,0,0.4,0.07,0.1,0.4,399,0,0,3,32,0.06,0.08,0.8,0.16,113,0,0.12
433,"Pepper dried or fresh, hot", Pilipili kavu au mbichi kali,17,70,59,99,77,20,15,59,37,79,65,30,27,1,0,0,0.3,5.8,0.1,0.1,0.1,0,1.7,0.1,35,9,19,11,141,15,0.4,0,0.1,0.41,0.11,471,0,0,1,146,0.04,0.03,0.9,0.23,16,0,0.06
454,"Blackcurrant, syrup, ribena", ribena,11,40,46,69,69,11,17,29,23,52,34,17,338,1.1,0,0,2.3,87.7,0.6,0,0.6,0,15.5,18.9,361,40,40,29,659,0,1.1,0,0,0.23,0.29,29,0,0,6,34,0.11,0.06,0.6,0.29,17,0,0.34
455,"Candy, choclate","Pipi, Choclate",63,168,164,257,212,44,52,204,159,254,240,73,479,4.2,0,0,30,63.1,17.75,9.966,0.966,0,5.9,54.5,84,32,132,115,365,11,3.1,0,1.6,0.7,0.8,0,0,0,0.26,0,0.055,0.09,0.427,0.035,13,0,0.105
458,"Carbonated, beverage, coca cola",Vinywaji baridi (Soda),0,0,0,0,0,0,0,0,0,0,0,0,37,0.07,0,0,0.02,9.56,0,0,0,0,0,8.97,0,3,12,1,1,4,0,0,0,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0
459,Cod liver oil,Mafuta ya ini la samaki,0,0,0,0,0,0,0,0,0,0,0,0,884,0,0,0,100,0,14.4,23.3,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
460,Cricket or locust, Senene or Nzige,141,699,645,1185,1345,430,178,591,509,710,1044,509,274,18.2,18.2,18.2,21.5,2,7.5,9.6,2.6,75,0,0,0,90,424,62,545,55,2.5,2.5,8.4,3,1.46,1,1,1,0,2,0.67,0.23,4.1,0.3,3,1.56,0.65
461,Honey,Asali,4,4,8,10,8,1,3,11,8,9,5,1,304,0.3,0,0,0,82.4,0,0,0,0,0,1.5,0,6,4,2,52,4,0.4,0,0.2,0.04,0.08,0,0,0,0,1,0,0.04,0.1,0.02,2,0,0.07
462,"Orange drink, concentrated",Maji ya machungwa kwenye chupa,5,19,21,32,32,5,8,13,11,24,16,8,158,0.5,0,0,1.1,41,0.3,0,0.3,0,7.2,8.8,169,19,19,13,308,0,0.5,0,0,0.11,0.13,13,0,0,3,16,0.05,0.03,0.3,0.13,8,0,0.16
463,"Salt, iodized ",Chumvi yenye madini ya iodine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2,8,38724,0.1,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
464,"Salt,,non-iodized", Chumvi bila madini ya iodine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2,8,38724,0.1,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Sugar,Sukari,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,99.9,0,0,0,0,0,96.8,0,1,2,0,2,1,0.1,0,0,0.04,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0
466,Sugarcane,Miwa,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,6.8,0,0,0,0,0,5.9,0,6,2,2,24,3,0.1,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01
467,Sugarcane juice,Juisi ya Miwa,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,14.6,0,0,0,0,0,12.6,0,13,3,4,52,6,0.3,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0.02
468,Tea leaves,Majani ya chai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0,2,1,2,20,3,0,0,0,0.01,0.22,0,0,0,0,0,0,0,0,0,0,0,0.01
469,Termite,Kumbikumbi,157,777,717,1317,1494,478,198,657,566,789,1160,566,369,19.7,19.6,19.6,31.2,1,10.8,13.9,3.8,83,0,0.3,0,32,184,17,361,1294,1.3,1.3,2.5,0.14,0.07,1,1,1,0,2,0.74,0.25,4.5,0.33,3,1.73,0.72
470,Tomato ketchup,Sausi ya nyanya,7,24,23,36,36,8,13,25,17,25,24,15,101,1,0,0,0.3,25.3,0,0.1,0.1,0,1.3,19.4,7,456,28,33,335,387250,1.6,0,0.1,0.39,0.13,100,0,0,0,22,0.07,0.06,0.7,0.09,17,0,0.29
471,"Chili powder, red","Pilipili ya unga, nyekundu",156,444,390,630,534,144,228,372,252,504,576,246,318,12,0,0,17.3,56.6,3.3,2.8,8.4,0,25,1.1,403,148,293,152,2014,30,7.8,0,2.5,0.37,2,4161,0,0,1,76,0.33,0.92,8.7,1.88,88,0,0.41
472,"Coffee, instant",Kahawa laini uliosagwa,0,100,200,500,100,0,200,300,200,300,100,200,200,10,0,0,0,40,0,0,0,0,0,0,600,300,300,400,3600,300,10,0,0,1,2,0,0,0,0,0,0,0,0.3,0,0,0,0
474,Soy sauce,Sausi ya soya,181,407,487,735,731,167,107,534,342,524,405,215,60,10.5,0,0,0.1,5.6,0,0,0,0,0.8,0,122,20,130,40,212,5586,2.4,0,0.4,0.14,0.5,0,0,0,0,0,0.06,0.15,4,0.2,18,0,0.38
475,"Soybean milk, dried", Maziwa ya soya ya unga,630,1650,2000,3070,2660,515,560,1965,1350,2040,2690,1175,380,40.5,0,0,24,9.5,3.5,5.5,13.5,0,6,0,1870,525,485,515,605,35,27,0,4,0.95,3.05,0,0,0,0,0,0.4,0.25,1,0.25,75,0,0.35
476,"Fruit flavored drink, concentrated",Kinywaji cha ladha ya tunda lo lote,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,6.8,0,0,0,0,0,5.5,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,"Garlic, fresh-AP",Kitunguu saumu,66,157,217,308,273,76,65,183,81,291,634,113,149,6.4,0,0,0.5,33.1,0.9,0,0.2,0,2.1,1,0,181,143,25,401,17,1.7,0,1.2,0.3,1.7,0,0,0,0.01,31.2,0.2,0.11,0.7,1.235,3,0,0.596
478,Tomato paste ,Paste ya nyanya,18,63,60,93,93,21,33,66,45,66,63,39,63,0,2.7,0,0,0.9,13.8,0,0.3,0.3,0,3.3,18,15,72,33,666,27,1.5,0,0.3,0.21,0.33,261,0,0,0,57,0.18,0.15,1.8,0.24,45,0,0.75
480,"Vinegar, wine",Siki,0,0,0,0,0,0,0,0,0,0,0,0,19,0.04,0,0,0,0.3,0,0,0,0,0,0,0,8,14,10,89,8,0.4,0,0.1,0.01,0.15,0,0,0,0,0.5,0,0.02,0.1,0.02,1,0.01,0.03
481,Chili sauce,Sausi ya pilipili,4.2,12.4,12.2,18,18.2,4.1,6.8,12.3,8.8,13.1,20,7.5,169.9,0.5,0.1,0,0.1,38.3,0.4,0,0.1,0,0.6,34.6,4.6,6.9,17.5,8.4,129,283.8,0.4,0,0.1,0,0.1,31.2,0,0,0.1,14.6,0,0,0.3,0,7.1,0,0.1
489,Tomato juice,Juisi ya nyanya,5,17,15,21,22,4,2,16,12,15,15,12,26,0.8,0,0,0.1,5.7,0,0,0,0,1.1,0,7,5,1,11,235,26,0.9,0,0.67,0.64,0.23,80,0,0,0.31,26,0.07,0.04,1,0.16,28,0,0.38
490,Ginger,Tangawizi,30,50,72,72,98,17,36,53,51,47,275,33,66,2.1,0,0,0.3,15.3,0,0,0.2,0,2.1,2,0,33,53,17,249,5,0.3,0,0.3,0.11,0.23,0,0,0,0,8,0.06,0.03,0.3,0.2,23,0,0.17
491,Ice sherbet,barafu,0,0,0,0,0,0,0,0,0,0,0,0,77.4,0,0,0,0,19.9,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,Maize porridge with sugar,Uji wa mahindi wenye sukari,6,31,20.4,39.7,16,11.9,10.2,27.9,23.1,28.8,28.3,17.3,94,0.81,0,0,0.36,22.7,0.05,0.09,0.16,0,0.7,14.6,80,3.7,24.4,12.7,29,3.7,0.4,0,0.2,0,0.1,0,0,0,0,0,0.04,0.02,0.4,0.03,3,0,0.04
507,Maize porridge with sugar and milk,Uji wa mahindi wenye sukari na maziwa,19.8,75.7,166.2,315,203.8,95.4,73.4,173.6,135.6,194.4,192,84.6,129.8,1.2,0.8,0.8,1,30,0.5,0.2,0.1,2.5,0.3,25,0,61.2,70.4,18.2,99,31.2,0.4,0,0.4,0,0.1,55,55,0,0,1,0.04,0.17,0.1,0.06,6,0.4,0.35
508,Millet porridge with sugar,Uji wa ulezi wenye sukari,16,36,42.9,71.7,41.7,12.6,10.6,41.1,29,46.4,56.7,21.9,91,0.7,0,0,0.1,22.6,0.3,0.1,0,0,1.3,14.5,61,27.7,28.6,2.7,41.1,1.3,0.3,0,0.1,0.1,0.6,0,0,0,0,0,0.02,0.02,0.2,0.02,3,0,0.04
509,Mix flour porridge with sugar,Uji wa unga mchanganyiko wenye sukari,13,39.3,578,1019,1123,365,142,501,424,656,836,366,130.3,2.2,0,0,6.7,16.4,1.4,3.1,1.9,0,1.9,4.1,157.7,32.5,52.4,12.9,80.2,2,0.5,0,0.3,0.1,0.6,0.5,0,0,0.8,0,0.04,0.02,0.8,0.04,7.6,0,0.16
511,Sorgum porridge with sugar,Uji wa mtama wenye sukari,11,35,29,100,23,17,15,40,33,41,41,25,91,1,0,0,0.3,22,0.05,0.1,0.14,0,1.27,14.59,44,2.7,22.5,17.1,13.4,0.9,0.4,0,0.16,0.1,0.1,1,0,0,0,0,0.02,0.01,0.2,0.02,1,0,0.08
512,Chapati with oil,Chapati yenye mafuta,51.2,113.3,143.8,285.8,92,73.6,88,209.3,125.3,167.3,167.9,92.6,372.6,5.9,0,0,19.5,43.9,16.5,1.2,0.6,0,1.6,0.2,162.2,9.9,71.3,16.6,70.6,1.3,0.7,0,0.4,0.9,0.4,0,0,0,0.2,0,0.1,0,0.6,0,10.4,0,0.2
514,Pancake ,Chapati maji,67.5,189.1,227.9,409.8,215.6,122.8,120.3,282.2,186,260.6,259.3,125.2,291.4,7,1.9,0,12.1,383,9.2,1.2,0.6,63.6,1.4,0.2,188,20.2,106.4,16.7,96.6,155.2,1,0,0.7,0.1,0.4,38,38,0.2,0.6,0,0.1,0.1,0.8,0.1,20.8,0.2,0.5
515, Rice and meat pillau ,Pilau,67.3,261.4,269.6,485.1,484.3,151.1,70.1,239.5,204.1,295.5,385.7,203.5,177,7.1,5.2,5.2,5.6,23.6,3.1,1.8,0.3,16.8,0.9,0.2,95.9,6.3,76.9,16.8,128.8,98.9,0.6,0.4,1.2,0.1,0.3,14.2,0,0,0,1.2,0,0.1,1.1,0.1,5.6,0.4,0.4
518,Rice with coconut milk,Wali wenye tui la nazi,49,151,165,307,153,75,80,202,118,215,279,94,170,2.9,0,0,1.5,35.5,1.2,0.1,0.1,0,0.7,0.1,166,4,49.3,17,48.8,0.7,0.3,0,0.5,0.1,0.5,0,0,0,0.1,1.1,0.04,0.03,0.5,0.1,2.6,0,0.5
519,Maize ugali (stiff porridge) ,Ugali wa mahindi,19,95.2,100.7,327.2,138.6,70.5,50.1,135.9,106.3,132.7,311.8,82.8,123.8,2.7,0,0,1.2,25.6,0.16,0.28,0.5,0,2.4,0.17,273.4,2,81.2,43.4,98.1,11.9,1.2,0,0.6,0.05,0.15,0,0,0,0.3,0,0.1,0.09,1.2,0.1,11.6,0,0.1
521,Rice ugali (stiff porridge) ,Ugali wa mchele,32,97.6,101.8,133.1,123.1,33.7,45.3,94.2,124.2,125.8,281,53.2,149,2.7,0,0,0.2,32.8,0.1,0.1,0.1,0,0.3,0.1,144.7,3.3,42.6,14.8,33.2,0,0.2,0,0.5,0,0.4,0,0,0,0,0,0.02,0.02,0.5,0.1,2.5,0,0.5
522,Sorgum and millet ugali (stiff porridge) ,Ugali wa mtama na ulezi,38.8,105.3,143.3,433.3,78.3,60.7,42.7,163.7,99.6,182.3,115.1,72.9,112.1,3.4,0,0,0.9,24.7,0.1,0.3,0.37,0,4.3,0.19,197.8,29.3,79,45,66.7,2.6,1.3,0,0.5,0.17,0.67,2.1,0,0,0.27,0,0.1,0.03,0.76,0.06,4.3,0,0.26
524,Rice bun,Kitumbua,5.6,29.6,28,96,21.6,16,14.4,38.4,32,39.2,39.2,24,416.2,4.7,0,0,11.1,73.7,8.9,0.9,0.5,0,1.9,9.4,282.4,6.5,83.3,28.8,65,1,0.5,0,0.9,0.09,0.8,0,0,0,0.16,0,0,0,0,0.1,4.8,0,0.9
525,Maize and kidney bean dish,Makande,135.1,308.3,420.3,748.9,283.9,165.9,272.3,526.4,243.6,398.9,383.3,189,156.5,3.6,0,0,7,21.4,5.5,0.5,0.5,0,2.8,0.1,311.2,7.5,88.3,38.7,166.1,74.9,1.5,0,0.7,0.1,0.3,0,0,0,0.1,0.5,0.1,0.1,1,0.1,29.6,0,0.2
526,Cassava stiff porridge ,Ugali wa mihogo,20.7,97,92.6,306.5,77,53.2,49.3,124.7,102.4,130,148.1,78.2,140,2.7,0,0,1.2,30.7,0.2,0.3,0.5,0,2.6,0.3,253,6.4,89.1,40.5,144.4,11,1.2,0,0.6,0.1,0.2,1.4,0,0,0.3,7.2,0.1,0.1,1.2,0.2,11.1,0,0.2
529,"Wheat fritter, sweet",Visheti,23,51,64,128,41,33,39,94,56,75,75,41,318,1.9,0,0,14.2,46.7,2,3.3,8.2,0,0.5,32,51,3,20,4,20,0,0.2,0,0.1,0.04,0.12,0,0,0,1,0,0.02,0.02,0.2,0.01,3,0,0.07
530,Rice bread ,Mikate kumimina,4.2,18.1,17.9,52.1,16,9.7,6.1,16.3,13.5,16.7,16.6,10.1,239.1,2.2,0,0,7.5,41.1,6.3,0.5,0.2,0,1,13.4,134.7,3.4,40.8,13.7,44.3,1.1,0.3,0,0.45,0.05,0.45,0,0,0,0.05,0.1,0.05,0,0.4,0.05,3.3,0,0.4
534,Cake (home made),Keki ya kutengeneza nyumbani,45,140.5,166.3,285.8,178.3,91,81,190.2,131.9,188.5,115.2,46.1,375.6,4.6,2.1,0,21.3,42.4,12.9,5.7,1,115.2,0.7,23.3,67.7,12.8,63.6,7,46.7,72.4,0.5,0,0.3,0,0.2,208.3,208.3,0.6,0.8,0,0,0.1,0.3,0,11.2,0.2,0.3
535,Vermicelli with coconut milk and sugar,Tambi zenye tui la nazi na sukari,57,173,199,686,103,84.5,66,251,147.5,258,163.5,113,227.6,7,0,0,3.6,41.5,2.5,0.2,0.4,0,2.6,1.8,142.3,11.3,85.6,27.8,75.2,3.3,0.9,0,0.8,0.2,0.5,0,0,0,0.1,0.3,0,0,0.6,0.1,12.3,0,0.2
536,Vermicell with oil and sugar,Tambi zenye mafuta na sukari,60.5,183.8,210.6,708,116.1,90,71.9,266,156.7,276,212,119.8,228.2,6.7,0,0,3.7,41.6,2.5,0.3,0.4,0,2.4,2.3,113.5,10,75.5,25,43.5,1.5,0.7,0,0.7,0.1,0.4,0,0,0,0,0,0,0,0.6,0.1,10,0,0.2
537,Vermicelli with coconut milk and salt,Tambi zenye tui la nazi na chumvi,57,173,199,686,103,84.5,66,147.5,258,163.5,113,67.1,260.4,7.7,0,0,6.2,43.3,4.8,0.4,0.5,0,2.9,0.7,178.7,13.4,100.6,32.4,109.7,177.3,1.2,0,0.9,0.2,0.7,0,0,0,0.2,0.5,0,0,0.7,0.1,15.3,0,0.2
540,Rice with ground meat,Wali na supu ya nyama ya kusaga,71.6,267.1,276.2,510.9,482.9,142.5,73.3,279.5,213.2,308.1,404.3,210.2,288.4,8.5,4.4,4.4,14.7,30.7,8.2,4.1,1.5,14.6,1.7,0.8,252.7,13.6,101.6,30.3,162.8,294,0.9,0.3,1.4,0.2,0.6,194.2,0,0,0.8,0.2,0.1,0.1,2,0.2,13.6,0.3,0.6
541,Cassava porridge with sugar,Uji wa mihogo wenye sukari,5.4,8.3,8,11.6,12.9,3.3,8.3,7.5,5.1,10.1,39.9,5.7,85.8,0.4,0,0,0.1,21.5,0,0,0,0,0.5,10,85.6,7,25.4,3.6,87.7,0.9,0.3,0,0.1,0,0,4.3,0,0,0.15,18.1,0.1,0.01,0.5,0.2,14.5,0,0.2
542,Wheat porridge,Uji wa ngano,17.1,35.3,51.5,91.3,25.5,20.7,37.5,64.7,35,56.8,49.3,27.2,91.9,1.4,0,0,0.2,22.2,0,0,0.1,0,1.2,14.6,28.2,1.6,11,2.2,10.9,0.3,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,1.8,0,0
543,Rice biriyani ,Biriani,119.5,405.8,490.6,733.8,746.7,256,135.9,399.7,322.8,506.3,625,276.5,208.3,9.9,8.1,8.1,10,19.5,5.3,2.4,1.3,23.7,0.7,0.7,69,22.9,92.9,19.2,179.6,346.3,0.7,0.4,0.8,0.1,0.3,16.6,12.9,0,0.1,4.9,0.1,0.1,2.1,0.2,9.8,0.1,0.6
544,Rice and mung dish with coconut milk,Mseto wenye tui la nazi,54.9,180,192.8,366.3,227.1,89.5,78,243,151,259.7,423.7,121.5,262.8,5,0,0,11.4,36.2,10,0.5,0.2,0,4.7,2.5,304.1,12.7,106.3,34.3,206.9,136.7,1.6,0,1,0.2,1,0.4,0,0,0.1,0.9,0.1,0,0.7,0.1,53.1,0,0.5
551,Beef  relish with oil,Mchuzi wa nyama wenye mafuta,102.7,396.8,156.6,286.8,193,66.6,41,149.6,98.5,131.9,203.5,95.7,210.7,12.4,12.1,12.1,17,"1,9",10.1,5.2,0.6,39.9,0.3,0.1,1,5.7,75.5,10.7,170.8,19.8,0.6,0.5,1.4,0.4,0.4,13.9,0,0,0.1,3.8,0.1,0.1,1.7,0.2,7.5,0.9,0.2
552,Beef relish with coconut milk,Mchuzi wa nyama wenye tui la nazi,115.6,445.1,458.8,804.6,843.9,259.4,116.2,401.5,344,499.5,652.9,347.5,143,10.2,10,10,10.2,2,5.1,4.1,0.4,32.8,0.2,0.1,14.1,2.9,85.6,12.5,186.8,100.1,0.8,0.7,1.7,0.1,0.1,5.2,0,0,0,2.2,0,0.1,1.4,0.2,4.7,0.7,0.2
556,Chicken relish with oil,Mchuzi wa kuku wenye mafuta,79.7,2898,104,355.7,81.4,60.7,52.1,142.6,117.9,146.9,144.7,88.6,188.9,6.2,4.2,4.2,13.3,13.3,9.5,1.7,1,12.2,2.1,1.5,3,7.3,54.2,10.4,155.6,20.5,0.5,0.3,0.46,0.07,0.07,53.2,9.75,0,0.1,10.1,0.05,0.1,1.7,0.1,10.5,0.05,0.3
557,Small dried fish with tomatoes and oil,Mchuzi wa dagaa wenye nyanya na mafuta,67.5,260.7,175,3305,777.5,111,44.7,151.5,126,194.7,229.7,111.7,100.1,7.7,7.3,7.3,6.9,2.2,5.1,0.8,0.4,7.1,0.5,0.15,0.1,1139.1,884,100.5,771.6,213,1.9,1.6,3.5,0.3,1.4,34.4,0,0.6,0.1,4.7,0.07,0.1,2.7,0.16,15.8,3.7,0.6
559,"Small dried fish, fried",Dagaa wa kukaanga,662,2590,2722,4802,5424,1750,634,2306,1994,3043,3535,1740,449.9,58.6,58.6,22.7,13.5,0,4.4,2.2,5.7,0,0,0.1,0,1700.4,1300,140,953.1,656.2,2.5,2.5,5.2,0.5,2.1,0,0,2,0.1,0,0.1,0.3,8.1,0.4,28,12,1.5
561,"Egg, fried",Yai la kukaanga,142.8,563.7,640.3,1003.3,843.7,365.9,272.5,623.5,478.8,715.9,704.7,278.1,245.2,11.8,11.8,11.8,21.6,1,13.2,4.5,1.5,395.7,0,0,0,47.3,160.5,9.4,117.7,632.1,1.1,0,1,0,0,114,114,0.6,1.3,0,0.04,0.3,0.08,0.08,26.4,0.68,0.8
562,"Omelet, spanish ",Spanish omelet,98.5,384.6,435.6,681.4,574.9,246.8,186.7,423.9,325.3,486.7,487.4,190.6,274.7,8,7.9,0,26.6,1.7,19.7,3.7,1.3,263.8,0.2,0.2,38.8,33.8,113,8.7,120.1,423.2,0.8,0,0.7,0,0,133.1,118.2,0.6,1.6,16.9,0.1,0.3,0.2,0.1,32.8,0.7,0.5
563,"Fish, fried, relish",Supu wa samaki wa kukaanga,12.7,44.8,134.4,196.5,214.3,68.7,36.9,101.5,13.8,123.9,170.7,73.7,183.5,6.5,6.2,6.2,17.5,1.3,14.5,1.3,0.6,24.4,0.7,0.1,15.6,6.5,113.2,13.2,203,19.4,0.4,0.2,0.3,0,0.1,15.2,0.7,0.6,0.7,3.7,0,0,0.3,0,5,0.2,0.1
564,Fish relish with oil,Mchuzi wa samaki wenye mafuta,146,580.6,271.4,999.4,6915.8,347.8,137,484.7,415.4,632.4,556,272.2,253.6,21.2,20.8,20.8,17.9,2.2,13.2,2.2,1,20.9,0.5,0.1,1.6,500,406.1,46.3,374.5,96.6,0.9,0.8,1.6,0.2,0.7,24.3,0.9,1.3,0.3,5.6,0.1,0.1,2.7,0.2,13.9,3.7,0.6
565,"Fish, fresh, stew ",Mchuzi wa samaki wa kuchemsha,60.1,233.7,244.8,431,485.4,155.6,58.8,209,179.6,273.8,316.5,156.6,85,5.4,5.1,5.1,6.6,1.4,5.1,0.6,0.3,12.9,0.3,0,1.9,3.6,27.4,9.5,105.3,14,0.25,0.1,0.1,0,0,27.6,0,0,0.1,10.9,0.1,0,0.35,0.15,19.4,0,0.2
566,Fish relish without oil,Mchuzi wa samaki bila mafuta,88.5,342.4,360,632.1,713.7,228.9,86,306,263.9,1.3,473.7,229.6,76.5,8.2,6.9,6.9,4.5,2.4,2.9,0.6,0.4,19,0.9,0.1,1.5,59.9,111.7,15.7,185.2,26.6,0.3,0.2,0.4,0,0.1,24.4,2.6,2.2,0.5,7.8,0.1,0.1,0.9,0.1,14.6,0.9,0.4
567,Fish relish with coconut milk,Mchuzi wa samaki wenye tui la nazi,142,547,71.6,122.2,73.7,17.3,17.9,75,55.5,78.5,132.4,38.8,138.4,11.7,10.9,10.9,9.3,2.5,7.1,1,0.5,15.4,0.9,1.1,54.9,272.7,254.3,31.5,273.2,58.8,0.9,0.4,1.1,0.2,0.6,38.3,1.3,1.4,0.2,2.4,0.02,0,1.7,0.1,11.6,2.2,0.4
569,"Fish, fried",Samaki wa kukaanga,199.2,777.6,817.2,1442.4,1629.6,525.6,189.6,692.4,598.8,914.4,1062,522,230.1,17.8,17.8,17.8,17.8,0,13.7,2,0.9,69.6,0,0,0,10.8,291.6,26.4,402,48,0.4,0.4,0.6,0.03,0.02,1.8,1.8,1.5,1.5,0.2,0,0.01,0.3,0.01,1.2,0.3,0.1
570,Meat samosa    ,Sambusa,135,439,108,201,90,52,58,148,95,130,125,67,280,11.6,7.5,7.5,11.8,30.5,3.5,3.7,3.9,23,1.1,0.2,0,7,101,16,145,17,1,0.5,1.5,0.09,0.27,0,0,0,0,0,0.06,0.07,1.4,0.12,9,0.56,0.28
571,Egg boiled,Yai la kuchemsha,153,604,686,1075,904,392,292,668,513,767,755,298,155,12.6,12.6,12.6,10.6,1.1,3.3,4.1,1.4,424,0,0,0,50,172,10,126,124,1.2,0,1.1,0.01,0.03,133,133,0.7,1.4,0,0.05,0.3,0..07,0.07,30.8,0.7,0.4
