code,food,Chakula,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAC,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
252,"Infant formula, Lactogen",Maziwa ya watoto wachanga (Lactogen),311,1006,1343,2174,1762,560,203,1073,1073,1485,803,601,464,21.6,21.6,0,19,51.6,11.7,5.4,0.4,25,0,12,0,770,600,70,970,320,8,0,3.5,0.3,33,420,420,7,4,37,0.3,0.6,3.5,0.3,42,1,2.1
253,"Milk, condensed, sweetened",Maziwa yai ya kopo yenye sukari,110,353,474,767,621,197,72,378,378,524,284,213,320,7.8,7.8,0,8.7,54.5,5.3,2.6,0.2,33,0,41.6,0,300,234,28,349,122,0.2,0,0.9,0.04,0.01,62,62,0,0,2,0.06,0.38,0.2,0.06,9,0.18,0.74
254,"Milk powder, full-cream",Maziwa ya unga namafuta,340,1103,1473,2383,1931,614,222,1177,1177,1628,881,659,496,26.32,26.3,0,26.71,38.42,16.742,7.924,0.665,97,0,38.42,0,851,681,81,1036,407,0.7,0,3,0,0,407,407,0,0,7,0.3,1.26,0.7,0.44,44,2.96,2.59
255,"Milk whole, 3.25% milk fat",Maziwa ya ng'ombe halisi,75,143,165,265,140,75,17,147,152,192,75,75,60,3.22,3.2,0,3.25,4.52,1.865,0.812,0.195,10,0,5.26,0,115,92,11,140,55,0.1,0,0.4,0,0,28,28,0,0.06,0,0.044,0.183,0.107,0.036,5,0.44,0.362
256,"Yogurt, plain, whole milk",Maziwa mtindi/magando,61,319,426,760,660,215,67,401,379,596,240,193,61,3.47,3.47,0,3.25,4.66,2.096,0.893,0.092,13,0,4.66,0,121,95,12,155,0,0,0,0,0,0,27,27,0,0.06,0.5,0.029,0.142,0.075,0.032,7,0.37,0.389
257,"Milk, condensed, evaported, without vitamin A", Maziwa ya maji ya kopo bila vitamin A,96,307,412,667,540,171,63,329,329,456,247,185,134,6.81,6.8,0,7.56,10.04,4.591,2.335,0.245,29,0,10.04,0,261,203,24,303,106,0.2,0,0.8,0,0,65,65,0,0.14,1.9,0.047,0.316,0.194,0.05,8,0.16,0.638
258,"Cheese, cream",Kimu yoa jibini,0.1,0.3,0.4,0.7,0.7,0.2,0.1,0.4,0.4,0.4,0.3,0.3,349,7.6,7.6,0,34.9,2.7,21.9,9.8,1.3,110,0,0,0,80,104,6,119,296,1.2,0,0.5,0,0,366,366,0,0.3,0,0,0.2,0.1,0,13,0.4,0.3
259,"Cheese, mozarella",Jibini mozarella,0.5,1,1.1,1.8,1,0.5,0.1,1,1,1.3,0.5,0.5,300,22.2,22.2,0,22.3,2.2,13.2,6.6,0.8,79,0,0.03,0,505,354,20,76,627,0.4,0,2.9,0,0,179,179,0,0.2,0,0,0.3,0.1,0,7,2.3,0.1
260,"Milk powder, non-fat, without vitamin A", Maziwa ya unga bila mafuta na vitmmin A,510,1632,2188,3542,2868,907,334,1746,1746,2420,1309,981,362,36.2,36.2,0,0.7,52,0.5,0.2,0,20,0,52,0,1257,968,110,1794,535,0.3,0,4.1,0,0,6,6,0,0,6.8,0.4,1.6,0.9,0.4,50,4,3.6
261,"Cheese, chedder",Jibini chedder,0.3,0.9,1.5,2.4,2.1,0.7,0.1,1.3,1.2,1.7,0.9,0.9,403,24.9,24.9,0,33.1,1.3,21.09,9.4,0.9,105,0,0.24,0,721,512,28,98,621,0.7,0,3.11,0,0,265,265,0,0.29,0,0.3,0.4,0.1,0.07,18,0.8,0.4
